id,title,text,source,publish_date,url,category,location_mentioned
news_0010,Kanpur Reports on Local events Issues,"This article covers recent local events related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-04-09 23:22:32.494280,http://fakenewsdomain.example.com/local-events/kanpur/article10,local events,Kanpur
news_0011,Jaipur Discusses Education Developments,"This article covers recent education related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-05 11:05:32.494290,http://fakenewsdomain.example.com/education/jaipur/article11,education,Jaipur
news_0012,Chennai Reports on Infrastructure Issues,"This article covers recent infrastructure related activities in Chennai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-29 09:30:32.494299,http://fakenewsdomain.example.com/infrastructure/chennai/article12,infrastructure,Chennai
news_0013,Patna Reports on Health services Concerns,"This article covers recent health services related activities in Patna. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-05-22 07:06:32.494308,http://fakenewsdomain.example.com/health-services/patna/article13,health services,Patna
news_0014,Thane Discusses Infrastructure Concerns,"This article covers recent infrastructure related activities in Thane. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-24 03:14:32.494322,http://fakenewsdomain.example.com/infrastructure/thane/article14,infrastructure,Thane
news_0015,Kanpur Investigates Local events Developments,"This article covers recent local events related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-06-01 22:07:32.494331,http://fakenewsdomain.example.com/local-events/kanpur/article15,local events,Kanpur
news_0016,Hyderabad Questions Education Issues,"This article covers recent education related activities in Hyderabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-05-12 17:44:32.494340,http://fakenewsdomain.example.com/education/hyderabad/article16,education,Hyderabad
news_0017,Chennai Questions Health services Developments,"This article covers recent health services related activities in Chennai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-26 05:16:32.494350,http://fakenewsdomain.example.com/health-services/chennai/article17,health services,Chennai
news_0018,Indore Questions Local events Concerns,"This article covers recent local events related activities in Indore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-16 15:44:32.494358,http://fakenewsdomain.example.com/local-events/indore/article18,local events,Indore
news_0019,Pune Discusses Education Developments,"This article covers recent education related activities in Pune. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-07 19:44:32.494368,http://fakenewsdomain.example.com/education/pune/article19,education,Pune
news_0020,Lucknow Highlights Local events Issues,"This article covers recent local events related activities in Lucknow. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-16 16:47:32.494377,http://fakenewsdomain.example.com/local-events/lucknow/article20,local events,Lucknow
news_0021,Kanpur Highlights Infrastructure Concerns,"This article covers recent infrastructure related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-28 05:15:32.494386,http://fakenewsdomain.example.com/infrastructure/kanpur/article21,infrastructure,Kanpur
news_0022,Patna Highlights Education Concerns,"This article covers recent education related activities in Patna. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-17 00:46:32.494395,http://fakenewsdomain.example.com/education/patna/article22,education,Patna
news_0023,Ahmedabad Questions Health services Issues,"This article covers recent health services related activities in Ahmedabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-06 19:12:32.494404,http://fakenewsdomain.example.com/health-services/ahmedabad/article23,health services,Ahmedabad
news_0024,Jaipur Discusses Health services Issues,"This article covers recent health services related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-10 08:26:32.494414,http://fakenewsdomain.example.com/health-services/jaipur/article24,health services,Jaipur
news_0025,Jaipur Investigates Education Issues,"This article covers recent education related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-28 10:03:32.494422,http://fakenewsdomain.example.com/education/jaipur/article25,education,Jaipur
news_0026,Ahmedabad Reports on Infrastructure Developments,"This article covers recent infrastructure related activities in Ahmedabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-05-11 06:35:32.494432,http://fakenewsdomain.example.com/infrastructure/ahmedabad/article26,infrastructure,Ahmedabad
news_0027,Indore Highlights Infrastructure Issues,"This article covers recent infrastructure related activities in Indore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-28 12:55:32.494441,http://fakenewsdomain.example.com/infrastructure/indore/article27,infrastructure,Indore
news_0028,Jaipur Questions Local events Developments,"This article covers recent local events related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-04-04 14:43:32.494450,http://fakenewsdomain.example.com/local-events/jaipur/article28,local events,Jaipur
news_0029,Lucknow Discusses Local events Developments,"This article covers recent local events related activities in Lucknow. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-06 18:47:32.494459,http://fakenewsdomain.example.com/local-events/lucknow/article29,local events,Lucknow
news_0030,Pune Questions Local events Developments,"This article covers recent local events related activities in Pune. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-26 20:06:32.494468,http://fakenewsdomain.example.com/local-events/pune/article30,local events,Pune
news_0031,Ahmedabad Questions Education Concerns,"This article covers recent education related activities in Ahmedabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-14 21:14:32.494478,http://fakenewsdomain.example.com/education/ahmedabad/article31,education,Ahmedabad
news_0032,Kolkata Reports on Local events Issues,"This article covers recent local events related activities in Kolkata. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-17 05:42:32.494487,http://fakenewsdomain.example.com/local-events/kolkata/article32,local events,Kolkata
news_0033,Bangalore Reports on Health services Developments,"This article covers recent health services related activities in Bangalore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-01 16:17:32.494497,http://fakenewsdomain.example.com/health-services/bangalore/article33,health services,Bangalore
news_0034,Hyderabad Investigates Public safety Issues,"This article covers recent public safety related activities in Hyderabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-17 01:18:32.494506,http://fakenewsdomain.example.com/public-safety/hyderabad/article34,public safety,Hyderabad
news_0035,Jaipur Reports on Education Developments,"This article covers recent education related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-06-02 05:29:32.494515,http://fakenewsdomain.example.com/education/jaipur/article35,education,Jaipur
news_0036,Kolkata Discusses Health services Developments,"This article covers recent health services related activities in Kolkata. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-27 18:24:32.494525,http://fakenewsdomain.example.com/health-services/kolkata/article36,health services,Kolkata
news_0037,Bangalore Reports on Infrastructure Issues,"This article covers recent infrastructure related activities in Bangalore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-04-17 04:21:32.494534,http://fakenewsdomain.example.com/infrastructure/bangalore/article37,infrastructure,Bangalore
news_0038,Ahmedabad Investigates Infrastructure Issues,"This article covers recent infrastructure related activities in Ahmedabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-17 16:57:32.494543,http://fakenewsdomain.example.com/infrastructure/ahmedabad/article38,infrastructure,Ahmedabad
news_0039,Bhopal Discusses Health services Concerns,"This article covers recent health services related activities in Bhopal. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-07 19:59:32.494553,http://fakenewsdomain.example.com/health-services/bhopal/article39,health services,Bhopal
news_0040,Bhopal Discusses Local events Developments,"This article covers recent local events related activities in Bhopal. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-30 10:53:32.494562,http://fakenewsdomain.example.com/local-events/bhopal/article40,local events,Bhopal
news_0041,Jaipur Investigates Infrastructure Issues,"This article covers recent infrastructure related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-20 23:22:32.494571,http://fakenewsdomain.example.com/infrastructure/jaipur/article41,infrastructure,Jaipur
news_0042,Kolkata Reports on Education Concerns,"This article covers recent education related activities in Kolkata. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-06-01 00:54:32.494580,http://fakenewsdomain.example.com/education/kolkata/article42,education,Kolkata
news_0043,Mumbai Discusses Local events Issues,"This article covers recent local events related activities in Mumbai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-04-24 22:04:32.494589,http://fakenewsdomain.example.com/local-events/mumbai/article43,local events,Mumbai
news_0044,Chennai Reports on Health services Concerns,"This article covers recent health services related activities in Chennai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-03 22:23:32.494598,http://fakenewsdomain.example.com/health-services/chennai/article44,health services,Chennai
news_0045,Pune Investigates Education Issues,"This article covers recent education related activities in Pune. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-14 03:08:32.494607,http://fakenewsdomain.example.com/education/pune/article45,education,Pune
news_0046,Indore Discusses Education Concerns,"This article covers recent education related activities in Indore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-04-25 06:18:32.494617,http://fakenewsdomain.example.com/education/indore/article46,education,Indore
news_0047,Pune Reports on Public safety Concerns,"This article covers recent public safety related activities in Pune. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-04-18 09:56:32.494626,http://fakenewsdomain.example.com/public-safety/pune/article47,public safety,Pune
news_0048,Bangalore Reports on Environment Concerns,"This article covers recent environment related activities in Bangalore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-27 08:03:32.494635,http://fakenewsdomain.example.com/environment/bangalore/article48,environment,Bangalore
news_0049,Bhopal Investigates Education Concerns,"This article covers recent education related activities in Bhopal. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-17 20:57:32.494647,http://fakenewsdomain.example.com/education/bhopal/article49,education,Bhopal
news_0050,Pune Discusses Infrastructure Developments,"This article covers recent infrastructure related activities in Pune. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-05-11 02:29:32.494656,http://fakenewsdomain.example.com/infrastructure/pune/article50,infrastructure,Pune
news_0051,Mumbai Investigates Local events Issues,"This article covers recent local events related activities in Mumbai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-15 17:21:32.494665,http://fakenewsdomain.example.com/local-events/mumbai/article51,local events,Mumbai
news_0052,Kanpur Discusses Education Developments,"This article covers recent education related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-01 23:24:32.494674,http://fakenewsdomain.example.com/education/kanpur/article52,education,Kanpur
news_0053,Bangalore Discusses Public safety Concerns,"This article covers recent public safety related activities in Bangalore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-14 02:13:32.494683,http://fakenewsdomain.example.com/public-safety/bangalore/article53,public safety,Bangalore
news_0054,Hyderabad Reports on Local events Developments,"This article covers recent local events related activities in Hyderabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-30 22:50:32.494692,http://fakenewsdomain.example.com/local-events/hyderabad/article54,local events,Hyderabad
news_0055,Kanpur Questions Infrastructure Issues,"This article covers recent infrastructure related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-17 04:57:32.494701,http://fakenewsdomain.example.com/infrastructure/kanpur/article55,infrastructure,Kanpur
news_0056,Ahmedabad Questions Health services Developments,"This article covers recent health services related activities in Ahmedabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-22 13:56:32.494710,http://fakenewsdomain.example.com/health-services/ahmedabad/article56,health services,Ahmedabad
news_0057,Delhi Discusses Infrastructure Developments,"This article covers recent infrastructure related activities in Delhi. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-04-08 02:26:32.494719,http://fakenewsdomain.example.com/infrastructure/delhi/article57,infrastructure,Delhi
news_0058,Jaipur Reports on Education Developments,"This article covers recent education related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-06-01 12:39:32.494728,http://fakenewsdomain.example.com/education/jaipur/article58,education,Jaipur
news_0059,Thane Questions Infrastructure Developments,"This article covers recent infrastructure related activities in Thane. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-22 19:02:32.494737,http://fakenewsdomain.example.com/infrastructure/thane/article59,infrastructure,Thane
news_0060,Patna Investigates Health services Developments,"This article covers recent health services related activities in Patna. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-30 23:01:32.494746,http://fakenewsdomain.example.com/health-services/patna/article60,health services,Patna
news_0061,Mumbai Investigates Health services Issues,"This article covers recent health services related activities in Mumbai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-05-20 07:43:32.494755,http://fakenewsdomain.example.com/health-services/mumbai/article61,health services,Mumbai
news_0062,Chennai Questions Local events Concerns,"This article covers recent local events related activities in Chennai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-04-04 23:52:32.494764,http://fakenewsdomain.example.com/local-events/chennai/article62,local events,Chennai
news_0063,Nagpur Discusses Infrastructure Developments,"This article covers recent infrastructure related activities in Nagpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-23 13:14:32.494773,http://fakenewsdomain.example.com/infrastructure/nagpur/article63,infrastructure,Nagpur
news_0064,Kanpur Reports on Infrastructure Concerns,"This article covers recent infrastructure related activities in Kanpur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-04-16 12:38:32.494781,http://fakenewsdomain.example.com/infrastructure/kanpur/article64,infrastructure,Kanpur
news_0065,Bangalore Discusses Public safety Developments,"This article covers recent public safety related activities in Bangalore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-05-09 06:16:32.494791,http://fakenewsdomain.example.com/public-safety/bangalore/article65,public safety,Bangalore
news_0066,Bangalore Questions Environment Concerns,"This article covers recent environment related activities in Bangalore. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-08 22:47:32.494800,http://fakenewsdomain.example.com/environment/bangalore/article66,environment,Bangalore
news_0067,Lucknow Investigates Local events Issues,"This article covers recent local events related activities in Lucknow. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-04-06 18:03:32.494809,http://fakenewsdomain.example.com/local-events/lucknow/article67,local events,Lucknow
news_0068,Delhi Highlights Health services Issues,"This article covers recent health services related activities in Delhi. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",State News Network,2025-04-08 23:36:32.494818,http://fakenewsdomain.example.com/health-services/delhi/article68,health services,Delhi
news_0069,Jaipur Discusses Environment Issues,"This article covers recent environment related activities in Jaipur. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Times of City,2025-04-28 12:13:32.494827,http://fakenewsdomain.example.com/environment/jaipur/article69,environment,Jaipur
news_0070,Hyderabad Discusses Local events Issues,"This article covers recent local events related activities in Hyderabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-24 05:50:32.494836,http://fakenewsdomain.example.com/local-events/hyderabad/article70,local events,Hyderabad
news_0071,Delhi Investigates Education Developments,"This article covers recent education related activities in Delhi. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-12 11:39:32.494849,http://fakenewsdomain.example.com/education/delhi/article71,education,Delhi
news_0072,Hyderabad Reports on Health services Concerns,"This article covers recent health services related activities in Hyderabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-05-26 09:44:32.494857,http://fakenewsdomain.example.com/health-services/hyderabad/article72,health services,Hyderabad
news_0073,Ahmedabad Investigates Infrastructure Issues,"This article covers recent infrastructure related activities in Ahmedabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-05-31 20:04:32.494866,http://fakenewsdomain.example.com/infrastructure/ahmedabad/article73,infrastructure,Ahmedabad
news_0074,Hyderabad Discusses Environment Developments,"This article covers recent environment related activities in Hyderabad. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Local Chronicle,2025-05-15 10:02:32.494876,http://fakenewsdomain.example.com/environment/hyderabad/article74,environment,Hyderabad
news_0075,Chennai Questions Public safety Issues,"This article covers recent public safety related activities in Chennai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Independent Reporter,2025-05-17 15:10:32.494885,http://fakenewsdomain.example.com/public-safety/chennai/article75,public safety,Chennai
news_0076,Mumbai Questions Environment Developments,"This article covers recent environment related activities in Mumbai. Various stakeholders have expressed their views. The situation is evolving. Lorem ipsum dolor sit amet, consectetur adipiscing elit.Lorem ipsum dolor sit amet, consectetur adipiscing elit.",Community Voice Portal,2025-04-28 11:02:32.494893,http://fakenewsdomain.example.com/environment/mumbai/article76,environment,Mumbai
