timestamp,user_id,text,location_approx,sentiment,issue_category,likes,shares,comments,engagement_score
2025-05-13 14:18:51.302240,user_6779,Update on road repair in Kolkata - things are looking great now!,Kolkata,positive,road repair,137,67,15,316
2025-05-11 07:50:49.218316,user_50926,The traffic congestion situation in Ghaziabad is good. #civic #india,Ghaziabad,positive,traffic congestion,77,33,9,170
2025-05-19 14:37:11.663157,user_8977,Why is road repair always average in Surat? Need better governance.,Surat,neutral,road repair,458,26,45,645
2025-05-29 19:48:56.021590,user_20563,Why is corruption always terrible in Lucknow? Need better governance.,Lucknow,negative,corruption,367,45,9,484
2025-05-07 21:23:57.168573,user_65430,Why is public transport always happy in Visakhapatnam? Need better governance.,Visakhapatnam,positive,public transport,83,20,26,201
2025-04-30 03:45:35.667654,user_21581,Why is power outage always regular in Patna? Need better governance.,Patna,neutral,power outage,4,18,45,175
2025-05-18 15:56:47.004147,user_42894,The power outage situation in Hyderabad is wonderful. #civic #india,Hyderabad,positive,power outage,100,29,16,206
2025-05-08 19:25:17.880449,user_66593,Can someone help with healthcare problem in Visakhapatnam? It's really bad.,Visakhapatnam,negative,healthcare,445,57,12,595
2025-05-22 10:49:45.582505,user_36684,Can someone help with water shortage problem in Kanpur? It's really good.,Kanpur,positive,water shortage,473,95,15,708
2025-05-20 01:15:38.172566,user_95229,The garbage collection situation in Bangalore is standard. #civic #india,Bangalore,neutral,garbage collection,30,24,48,222
2025-05-22 09:12:16.700530,user_95718,Grateful for the education improvements in Visakhapatnam. Feels great!,Visakhapatnam,positive,education,101,76,42,379
2025-05-05 19:32:35.804238,user_79520,Grateful for the road repair improvements in Ludhiana. Feels standard!,Ludhiana,neutral,road repair,435,63,14,603
2025-05-16 19:28:34.619172,user_27655,Grateful for the healthcare improvements in Visakhapatnam. Feels excellent!,Visakhapatnam,positive,healthcare,318,48,6,432
2025-05-24 12:46:38.419597,user_18001,Why is monsoon flooding always regular in Visakhapatnam? Need better governance.,Visakhapatnam,neutral,monsoon flooding,432,12,21,519
2025-05-08 05:05:50.375802,user_48679,Can someone help with corruption problem in Bangalore? It's really regular.,Bangalore,neutral,corruption,323,92,9,534
2025-05-07 16:09:10.727942,user_76715,Grateful for the corruption improvements in Agra. Feels normal!,Agra,neutral,corruption,118,38,12,230
2025-05-10 12:51:10.040010,user_81873,Update on street lighting in Ludhiana - things are looking normal now!,Ludhiana,neutral,street lighting,474,92,10,688
2025-05-03 23:11:33.742301,user_93538,The pollution situation in Bhopal is great. #civic #india,Bhopal,positive,pollution,389,83,37,666
2025-04-30 19:41:37.863129,user_69543,Update on monsoon flooding in Ahmedabad - things are looking standard now!,Ahmedabad,neutral,monsoon flooding,284,75,18,488
2025-05-12 11:57:30.151999,user_3633,Update on road repair in Ghaziabad - things are looking regular now!,Ghaziabad,neutral,road repair,155,59,20,333
2025-05-01 09:52:29.540911,user_52117,The water shortage situation in Kolkata is average. #civic #india,Kolkata,neutral,water shortage,426,16,42,584
2025-05-25 06:09:56.326640,user_95611,Can someone help with housing problem in Ghaziabad? It's really standard.,Ghaziabad,neutral,housing,277,77,24,503
2025-05-17 13:58:11.158342,user_57617,Grateful for the power outage improvements in Surat. Feels normal!,Surat,neutral,power outage,22,55,5,147
2025-05-13 15:55:24.560143,user_66505,Update on education in Nagpur - things are looking good now!,Nagpur,positive,education,185,81,19,404
2025-05-22 11:25:50.135908,user_50230,Grateful for the water shortage improvements in Vadodara. Feels amazing!,Vadodara,positive,water shortage,176,17,3,219
2025-05-22 15:17:19.294828,user_55757,Why is road repair always good in Kanpur? Need better governance.,Kanpur,positive,road repair,341,28,28,481
2025-05-19 15:05:25.346407,user_35606,Update on housing in Ludhiana - things are looking good now!,Ludhiana,positive,housing,386,10,12,442
2025-05-02 18:50:18.370152,user_63380,The street lighting situation in Ahmedabad is good. #civic #india,Ahmedabad,positive,street lighting,433,81,44,727
2025-05-12 17:52:36.387538,user_96286,Grateful for the housing improvements in Indore. Feels good!,Indore,positive,housing,163,12,41,310
2025-05-13 23:17:13.555377,user_77495,Grateful for the housing improvements in Delhi. Feels bad!,Delhi,negative,housing,46,9,29,151
2025-05-24 08:29:32.808361,user_53076,Why is pollution always fantastic in Surat? Need better governance.,Surat,positive,pollution,99,91,8,305
2025-05-03 06:06:32.328690,user_81717,Update on education in Mumbai - things are looking angry now!,Mumbai,negative,education,409,85,15,624
2025-05-10 14:29:12.051871,user_72538,Can someone help with traffic congestion problem in Jaipur? It's really standard.,Jaipur,neutral,traffic congestion,373,58,15,534
2025-05-19 12:05:58.055759,user_68882,Update on public transport in Lucknow - things are looking amazing now!,Lucknow,positive,public transport,1,36,1,76
2025-05-05 15:32:35.454617,user_10174,The traffic congestion situation in Nashik is disappointed. #civic #india,Nashik,negative,traffic congestion,246,47,16,388
2025-05-27 10:49:04.591313,user_69065,Can someone help with street lighting problem in Kolkata? It's really average.,Kolkata,neutral,street lighting,362,28,14,460
2025-05-03 17:08:42.837793,user_28947,The housing situation in Delhi is regular. #civic #india,Delhi,neutral,housing,400,98,46,734
2025-05-06 02:26:17.427574,user_5730,Can someone help with power outage problem in Visakhapatnam? It's really horrible.,Visakhapatnam,negative,power outage,344,23,20,450
2025-05-04 15:30:57.413201,user_79678,Update on street lighting in Chennai - things are looking horrible now!,Chennai,negative,street lighting,153,13,2,185
2025-05-15 18:06:21.079823,user_84041,Update on traffic congestion in Vadodara - things are looking disappointed now!,Vadodara,negative,traffic congestion,407,27,12,497
2025-05-23 09:52:09.977915,user_21260,Why is power outage always okay in Pune? Need better governance.,Pune,neutral,power outage,15,23,5,76
2025-05-13 05:02:41.150348,user_13068,Why is monsoon flooding always okay in Thane? Need better governance.,Thane,neutral,monsoon flooding,399,38,27,556
2025-05-21 17:30:35.470245,user_35365,Update on road repair in Mumbai - things are looking amazing now!,Mumbai,positive,road repair,92,54,18,254
2025-05-23 12:27:32.183782,user_52577,Why is water shortage always normal in Visakhapatnam? Need better governance.,Visakhapatnam,neutral,water shortage,329,97,30,613
2025-05-30 00:24:15.231272,user_73141,Update on corruption in Visakhapatnam - things are looking horrible now!,Visakhapatnam,negative,corruption,236,93,17,473
2025-05-07 17:27:33.577048,user_69327,Grateful for the street lighting improvements in Pune. Feels great!,Pune,positive,street lighting,270,29,22,394
2025-05-01 19:02:36.842442,user_89790,The power outage situation in Mumbai is standard. #civic #india,Mumbai,neutral,power outage,401,51,34,605
2025-05-17 07:37:45.776683,user_91746,The public transport situation in Ahmedabad is fine. #civic #india,Ahmedabad,neutral,public transport,302,26,1,357
2025-05-20 01:11:22.161468,user_43662,Can someone help with monsoon flooding problem in Hyderabad? It's really good.,Hyderabad,positive,monsoon flooding,317,1,24,391
2025-05-06 07:38:38.587396,user_65776,Grateful for the corruption improvements in Patna. Feels excellent!,Patna,positive,corruption,36,13,20,122
2025-05-01 13:07:39.600696,user_54763,Can someone help with water shortage problem in Mumbai? It's really angry.,Mumbai,negative,water shortage,319,94,0,507
2025-05-26 15:04:33.717534,user_57017,Update on traffic congestion in Visakhapatnam - things are looking average now!,Visakhapatnam,neutral,traffic congestion,492,90,25,747
2025-05-10 02:35:54.218684,user_75178,Grateful for the public transport improvements in Bangalore. Feels good!,Bangalore,positive,public transport,451,50,42,677
2025-05-25 01:38:56.994692,user_30473,Why is garbage collection always fine in Ahmedabad? Need better governance.,Ahmedabad,neutral,garbage collection,143,12,45,302
2025-05-03 11:40:13.811235,user_59023,Grateful for the traffic congestion improvements in Nashik. Feels angry!,Nashik,negative,traffic congestion,121,83,37,398
2025-05-06 18:19:19.026207,user_89099,Grateful for the education improvements in Nashik. Feels standard!,Nashik,neutral,education,183,25,14,275
2025-05-08 15:25:32.118659,user_27168,Grateful for the road repair improvements in Bhopal. Feels regular!,Bhopal,neutral,road repair,238,79,3,405
2025-05-30 02:45:41.533882,user_53735,Update on street lighting in Bangalore - things are looking bad now!,Bangalore,negative,street lighting,377,53,1,486
2025-05-13 16:33:27.928299,user_96922,Can someone help with monsoon flooding problem in Nashik? It's really terrible.,Nashik,negative,monsoon flooding,236,42,48,464
2025-05-10 22:54:17.781409,user_10811,Update on road repair in Nashik - things are looking standard now!,Nashik,neutral,road repair,267,89,30,535
2025-05-01 02:31:07.789365,user_69574,Update on public transport in Patna - things are looking normal now!,Patna,neutral,public transport,454,44,17,593
2025-05-14 16:55:11.089767,user_17002,Update on public transport in Nashik - things are looking excellent now!,Nashik,positive,public transport,319,27,7,394
2025-05-28 01:20:16.252171,user_23712,The power outage situation in Agra is normal. #civic #india,Agra,neutral,power outage,255,18,33,390
2025-05-23 00:33:21.024232,user_9710,Grateful for the housing improvements in Pune. Feels bad!,Pune,negative,housing,437,72,30,671
2025-05-29 07:32:43.585851,user_14042,Update on monsoon flooding in Jaipur - things are looking amazing now!,Jaipur,positive,monsoon flooding,135,50,32,331
2025-05-23 03:03:30.507081,user_93182,Update on education in Surat - things are looking horrible now!,Surat,negative,education,149,88,28,409
2025-05-03 21:07:29.288440,user_37601,Grateful for the water shortage improvements in Ludhiana. Feels average!,Ludhiana,neutral,water shortage,411,40,3,500
2025-05-07 14:38:52.183946,user_81351,Why is corruption always fantastic in Kanpur? Need better governance.,Kanpur,positive,corruption,194,7,50,358
2025-05-06 18:01:34.191928,user_5979,Update on public transport in Lucknow - things are looking wonderful now!,Lucknow,positive,public transport,14,56,11,159
2025-05-22 23:35:18.234945,user_85954,Grateful for the education improvements in Kolkata. Feels fantastic!,Kolkata,positive,education,302,36,26,452
2025-05-03 08:31:30.706598,user_55886,Update on healthcare in Bhopal - things are looking fine now!,Bhopal,neutral,healthcare,148,82,46,450
2025-05-28 09:17:52.409608,user_49340,The education situation in Ghaziabad is fantastic. #civic #india,Ghaziabad,positive,education,42,22,21,149
2025-05-25 09:22:26.221605,user_35812,Update on monsoon flooding in Pune - things are looking terrible now!,Pune,negative,monsoon flooding,437,92,2,627
2025-05-02 03:36:55.486244,user_13599,Update on garbage collection in Hyderabad - things are looking happy now!,Hyderabad,positive,garbage collection,444,43,38,644
2025-05-18 22:14:04.849872,user_8124,Why is power outage always wonderful in Visakhapatnam? Need better governance.,Visakhapatnam,positive,power outage,186,25,47,377
2025-05-27 19:47:46.454404,user_29406,Update on pollution in Pune - things are looking regular now!,Pune,neutral,pollution,468,93,26,732
2025-05-12 00:15:15.193897,user_11355,Why is corruption always wonderful in Patna? Need better governance.,Patna,positive,corruption,397,60,25,592
2025-05-27 12:23:52.312597,user_32804,Can someone help with water shortage problem in Ghaziabad? It's really standard.,Ghaziabad,neutral,water shortage,466,33,40,652
2025-05-10 16:43:09.537486,user_62302,Why is public transport always disappointed in Nagpur? Need better governance.,Nagpur,negative,public transport,239,16,20,331
2025-05-27 21:03:40.483987,user_2986,Update on road repair in Bangalore - things are looking wonderful now!,Bangalore,positive,road repair,193,37,47,408
2025-05-19 10:12:05.695067,user_33823,Can someone help with public transport problem in Mumbai? It's really standard.,Mumbai,neutral,public transport,66,66,1,201
2025-05-02 03:37:19.344885,user_40164,Can someone help with water shortage problem in Delhi? It's really disappointed.,Delhi,negative,water shortage,174,67,14,350
2025-05-18 10:26:11.797118,user_77407,Grateful for the power outage improvements in Ludhiana. Feels fantastic!,Ludhiana,positive,power outage,315,13,13,380
2025-05-09 23:01:33.202167,user_41696,Can someone help with public transport problem in Chennai? It's really wonderful.,Chennai,positive,public transport,432,80,43,721
2025-05-16 18:10:32.611074,user_61825,Can someone help with traffic congestion problem in Bhopal? It's really excellent.,Bhopal,positive,traffic congestion,101,13,50,277
2025-05-02 10:37:11.221545,user_25309,Update on traffic congestion in Pune - things are looking wonderful now!,Pune,positive,traffic congestion,474,48,20,630
2025-05-21 06:56:19.488696,user_33803,Why is corruption always awful in Indore? Need better governance.,Indore,negative,corruption,29,53,22,201
2025-05-28 23:37:20.640132,user_4111,Update on garbage collection in Kanpur - things are looking good now!,Kanpur,positive,garbage collection,57,92,41,364
2025-05-26 17:38:11.896210,user_85620,Update on education in Chennai - things are looking awful now!,Chennai,negative,education,357,64,25,560
2025-05-04 13:18:03.612114,user_25653,Grateful for the public transport improvements in Patna. Feels wonderful!,Patna,positive,public transport,46,99,15,289
2025-05-11 03:08:59.387666,user_51094,Why is corruption always fine in Visakhapatnam? Need better governance.,Visakhapatnam,neutral,corruption,152,92,3,345
2025-05-19 09:51:05.612309,user_40739,The road repair situation in Chennai is great. #civic #india,Chennai,positive,road repair,398,75,25,623
2025-05-21 07:00:46.873909,user_42356,Why is power outage always angry in Mumbai? Need better governance.,Mumbai,negative,power outage,496,1,11,531
2025-05-15 13:22:52.717732,user_95937,Can someone help with corruption problem in Agra? It's really okay.,Agra,neutral,corruption,344,98,32,636
2025-05-07 05:15:11.010839,user_79748,Grateful for the public transport improvements in Bangalore. Feels angry!,Bangalore,negative,public transport,406,1,21,471
2025-05-26 00:21:52.329334,user_25396,Grateful for the housing improvements in Ghaziabad. Feels angry!,Ghaziabad,negative,housing,482,9,34,602
2025-05-17 03:25:39.694438,user_86215,Can someone help with water shortage problem in Nashik? It's really great.,Nashik,positive,water shortage,137,44,25,300
2025-05-19 13:18:08.710726,user_23273,Update on pollution in Kolkata - things are looking bad now!,Kolkata,negative,pollution,472,20,37,623
2025-05-06 18:32:10.569914,user_52024,Why is water shortage always frustrated in Kolkata? Need better governance.,Kolkata,negative,water shortage,166,32,46,368
2025-05-10 01:00:08.483183,user_66520,The pollution situation in Mumbai is standard. #civic #india,Mumbai,neutral,pollution,164,85,19,391
2025-05-06 18:58:04.826831,user_16232,Why is healthcare always happy in Ghaziabad? Need better governance.,Ghaziabad,positive,healthcare,486,21,37,639
2025-05-22 22:46:02.536881,user_48433,Update on pollution in Lucknow - things are looking terrible now!,Lucknow,negative,pollution,355,41,17,488
2025-05-16 05:43:31.487082,user_79672,Can someone help with garbage collection problem in Agra? It's really angry.,Agra,negative,garbage collection,394,90,49,721
2025-05-21 12:14:11.936274,user_22959,The housing situation in Agra is terrible. #civic #india,Agra,negative,housing,294,9,29,399
2025-05-13 01:58:37.871619,user_33078,Grateful for the garbage collection improvements in Hyderabad. Feels okay!,Hyderabad,neutral,garbage collection,71,18,18,161
2025-05-06 17:53:41.009876,user_8397,Why is power outage always happy in Surat? Need better governance.,Surat,positive,power outage,354,75,2,510
2025-05-25 21:45:23.315581,user_34141,Grateful for the power outage improvements in Patna. Feels disappointed!,Patna,negative,power outage,300,42,47,525
2025-05-01 18:48:53.341808,user_6898,Grateful for the pollution improvements in Agra. Feels fantastic!,Agra,positive,pollution,473,88,25,724
2025-05-01 07:13:39.703231,user_38507,Update on healthcare in Surat - things are looking fantastic now!,Surat,positive,healthcare,408,47,1,505
2025-05-12 21:55:33.392156,user_5276,Why is road repair always terrible in Nashik? Need better governance.,Nashik,negative,road repair,407,95,40,717
2025-05-27 15:13:29.937396,user_14689,Why is monsoon flooding always terrible in Thane? Need better governance.,Thane,negative,monsoon flooding,395,44,4,495
2025-04-30 04:40:50.633803,user_78032,Why is public transport always happy in Mumbai? Need better governance.,Mumbai,positive,public transport,98,31,42,286
2025-05-14 15:02:31.724006,user_27243,Grateful for the water shortage improvements in Ghaziabad. Feels amazing!,Ghaziabad,positive,water shortage,178,99,34,478
2025-05-15 04:38:13.152391,user_77192,The road repair situation in Ahmedabad is terrible. #civic #india,Ahmedabad,negative,road repair,393,42,26,555
2025-05-07 17:34:08.099880,user_26960,Why is street lighting always standard in Jaipur? Need better governance.,Jaipur,neutral,street lighting,403,16,31,528
2025-05-18 00:30:59.428743,user_65446,Grateful for the pollution improvements in Pimpri-Chinchwad. Feels okay!,Pimpri-Chinchwad,neutral,pollution,76,21,46,256
2025-05-13 10:07:43.055671,user_74955,The education situation in Vadodara is fine. #civic #india,Vadodara,neutral,education,161,34,42,355
2025-05-20 11:45:06.323302,user_22095,Grateful for the education improvements in Visakhapatnam. Feels happy!,Visakhapatnam,positive,education,323,32,5,402
2025-05-27 11:02:46.026838,user_11796,Update on housing in Kolkata - things are looking regular now!,Kolkata,neutral,housing,346,30,0,406
2025-05-19 15:27:43.163073,user_56752,The pollution situation in Surat is regular. #civic #india,Surat,neutral,pollution,451,74,50,749
2025-05-01 01:31:38.692784,user_46912,Can someone help with traffic congestion problem in Bangalore? It's really regular.,Bangalore,neutral,traffic congestion,487,61,37,720
2025-05-16 19:24:38.484610,user_59513,Why is corruption always disappointed in Bhopal? Need better governance.,Bhopal,negative,corruption,240,12,20,324
2025-05-17 07:48:57.387109,user_76995,Can someone help with street lighting problem in Jaipur? It's really awful.,Jaipur,negative,street lighting,345,84,4,525
2025-05-12 06:28:57.983563,user_44492,Can someone help with monsoon flooding problem in Ludhiana? It's really regular.,Ludhiana,neutral,monsoon flooding,26,16,17,109
2025-05-22 11:43:53.520977,user_67148,The healthcare situation in Nashik is amazing. #civic #india,Nashik,positive,healthcare,260,97,29,541
2025-05-15 21:27:01.230288,user_24567,Update on road repair in Visakhapatnam - things are looking fine now!,Visakhapatnam,neutral,road repair,463,97,15,702
2025-05-23 11:05:53.481405,user_68168,Can someone help with corruption problem in Patna? It's really excellent.,Patna,positive,corruption,382,92,5,581
2025-05-24 16:29:37.274899,user_19992,Grateful for the street lighting improvements in Pimpri-Chinchwad. Feels horrible!,Pimpri-Chinchwad,negative,street lighting,475,1,44,609
2025-05-25 13:05:04.293810,user_95996,Why is garbage collection always good in Indore? Need better governance.,Indore,positive,garbage collection,192,53,0,298
2025-05-12 04:19:00.432988,user_78772,Can someone help with traffic congestion problem in Mumbai? It's really frustrated.,Mumbai,negative,traffic congestion,378,86,47,691
2025-05-14 21:59:26.501651,user_5326,Can someone help with monsoon flooding problem in Bangalore? It's really standard.,Bangalore,neutral,monsoon flooding,142,78,43,427
2025-05-22 03:33:28.843491,user_62373,Why is public transport always standard in Delhi? Need better governance.,Delhi,neutral,public transport,48,85,20,278
2025-05-18 21:55:56.189011,user_32845,Why is corruption always average in Lucknow? Need better governance.,Lucknow,neutral,corruption,42,35,33,211
2025-05-01 13:43:47.005637,user_85475,Can someone help with road repair problem in Indore? It's really average.,Indore,neutral,road repair,428,25,31,571
2025-05-24 23:20:16.616175,user_17559,Can someone help with street lighting problem in Delhi? It's really great.,Delhi,positive,street lighting,148,76,31,393
2025-05-20 22:23:20.950888,user_22952,Why is water shortage always frustrated in Mumbai? Need better governance.,Mumbai,negative,water shortage,334,37,47,549
2025-05-20 00:46:10.308422,user_38245,Can someone help with monsoon flooding problem in Ahmedabad? It's really average.,Ahmedabad,neutral,monsoon flooding,203,62,30,417
2025-05-11 23:44:47.928813,user_43232,Update on power outage in Kolkata - things are looking normal now!,Kolkata,neutral,power outage,283,18,47,460
2025-05-24 15:37:43.493483,user_72527,Update on public transport in Lucknow - things are looking fine now!,Lucknow,neutral,public transport,417,98,12,649
2025-05-25 22:43:22.137245,user_53372,Grateful for the water shortage improvements in Mumbai. Feels awful!,Mumbai,negative,water shortage,435,85,8,629
2025-05-26 02:08:22.074124,user_88865,Grateful for the power outage improvements in Bhopal. Feels great!,Bhopal,positive,power outage,143,71,13,324
2025-05-22 23:24:26.046207,user_66644,Update on education in Agra - things are looking average now!,Agra,neutral,education,482,47,18,630
2025-05-06 20:02:21.694767,user_60630,Grateful for the housing improvements in Kolkata. Feels good!,Kolkata,positive,housing,345,65,14,517
2025-05-18 04:46:42.975474,user_79684,Can someone help with housing problem in Kolkata? It's really average.,Kolkata,neutral,housing,376,48,40,592
2025-05-10 15:45:37.869351,user_24199,Can someone help with power outage problem in Thane? It's really good.,Thane,positive,power outage,159,85,42,455
2025-05-09 18:22:24.204166,user_99306,Grateful for the road repair improvements in Surat. Feels okay!,Surat,neutral,road repair,456,92,0,640
2025-05-16 21:01:03.231859,user_43930,Grateful for the road repair improvements in Mumbai. Feels excellent!,Mumbai,positive,road repair,398,91,3,589
2025-05-26 18:50:05.522010,user_4517,Why is garbage collection always regular in Hyderabad? Need better governance.,Hyderabad,neutral,garbage collection,314,18,20,410
2025-05-29 07:36:49.271022,user_79843,Why is corruption always fantastic in Agra? Need better governance.,Agra,positive,corruption,41,61,49,310
2025-05-11 08:46:28.491663,user_66448,The housing situation in Kolkata is fantastic. #civic #india,Kolkata,positive,housing,436,82,27,681
2025-05-11 14:10:51.922374,user_9061,The corruption situation in Kanpur is horrible. #civic #india,Kanpur,negative,corruption,99,46,29,278
2025-05-09 21:06:46.597210,user_73686,The public transport situation in Thane is normal. #civic #india,Thane,neutral,public transport,214,88,22,456
2025-05-04 17:40:26.437649,user_55835,The garbage collection situation in Kanpur is frustrated. #civic #india,Kanpur,negative,garbage collection,446,45,2,542
2025-05-10 06:29:46.004350,user_20609,Can someone help with street lighting problem in Kolkata? It's really excellent.,Kolkata,positive,street lighting,326,18,48,506
2025-05-13 10:51:09.470490,user_13567,Update on road repair in Chennai - things are looking excellent now!,Chennai,positive,road repair,332,0,31,425
2025-05-08 08:46:27.293796,user_61888,The healthcare situation in Indore is standard. #civic #india,Indore,neutral,healthcare,391,86,17,614
2025-05-02 09:45:36.813196,user_11481,The garbage collection situation in Ghaziabad is fine. #civic #india,Ghaziabad,neutral,garbage collection,160,22,4,216
2025-05-08 13:40:02.981805,user_10378,Update on power outage in Bangalore - things are looking disappointed now!,Bangalore,negative,power outage,100,59,41,341
2025-05-26 16:56:43.530689,user_31352,The housing situation in Nagpur is happy. #civic #india,Nagpur,positive,housing,37,81,12,235
2025-05-22 12:33:29.166423,user_54510,The water shortage situation in Thane is awful. #civic #india,Thane,negative,water shortage,408,38,13,523
2025-05-22 22:57:05.131254,user_51621,Grateful for the healthcare improvements in Ghaziabad. Feels fine!,Ghaziabad,neutral,healthcare,159,47,15,298
2025-05-20 14:08:22.041584,user_24244,Can someone help with road repair problem in Thane? It's really angry.,Thane,negative,road repair,172,61,30,384
2025-05-10 09:13:20.624520,user_7100,Can someone help with power outage problem in Thane? It's really fine.,Thane,neutral,power outage,243,58,17,410
2025-05-26 00:58:59.072672,user_67652,The street lighting situation in Pune is frustrated. #civic #india,Pune,negative,street lighting,84,25,5,149
2025-05-02 14:24:35.939537,user_42363,Grateful for the street lighting improvements in Chennai. Feels wonderful!,Chennai,positive,street lighting,149,4,0,157
2025-05-23 14:05:42.593307,user_17271,Update on housing in Pimpri-Chinchwad - things are looking great now!,Pimpri-Chinchwad,positive,housing,161,6,39,290
2025-05-01 20:42:16.322468,user_66797,The street lighting situation in Patna is regular. #civic #india,Patna,neutral,street lighting,288,51,39,507
2025-05-15 12:41:21.157062,user_30682,Why is street lighting always regular in Kanpur? Need better governance.,Kanpur,neutral,street lighting,309,90,41,612
2025-05-11 11:12:59.468689,user_87084,Why is traffic congestion always amazing in Ludhiana? Need better governance.,Ludhiana,positive,traffic congestion,409,54,15,562
2025-05-10 00:26:05.814555,user_77911,Why is street lighting always frustrated in Indore? Need better governance.,Indore,negative,street lighting,191,33,0,257
2025-05-09 21:48:58.540812,user_1978,Update on power outage in Mumbai - things are looking okay now!,Mumbai,neutral,power outage,21,41,45,238
2025-05-26 19:21:40.345402,user_13400,Update on education in Kolkata - things are looking excellent now!,Kolkata,positive,education,218,84,30,476
2025-05-27 11:02:02.726310,user_50700,Can someone help with public transport problem in Nagpur? It's really excellent.,Nagpur,positive,public transport,444,34,41,635
2025-05-19 08:37:10.245025,user_28707,The power outage situation in Surat is normal. #civic #india,Surat,neutral,power outage,100,11,3,131
2025-05-17 17:06:13.041484,user_93705,The education situation in Patna is happy. #civic #india,Patna,positive,education,407,26,24,531
