id,text,timestamp,user_id,location_approx,source_platform,likes,shares,language
post_0063,Nagpur market seems busy as usual.,2025-05-05 18:08:32.473177,user_2060,"Nagpur, Maharashtra",Instagram,279,92,en
post_0064,Weather in Pune is quite hot today.,2025-05-16 18:08:32.473198,user_1606,"Pune, Maharashtra",Instagram,98,59,hinglish
post_0065,बहुत अच्छा काम हो रहा है Kolkata में। #विकास,2025-06-01 12:40:32.473221,user_3975,"Kolkata, West Bengal",Twitter,470,32,en
post_0066,Endless wait times at the Police Station in Ahmedabad. #inefficiency,2025-05-30 14:36:32.473242,user_6854,"Ahmedabad, Gujarat",Instagram,53,57,hi
post_0067,Great initiative by local authorities for education. #positivechange,2025-05-31 00:15:32.473263,user_4863,"Nagpur, Maharashtra",Twitter,113,31,hinglish
post_0068,Heard a rumor that a protest march is happening in Lucknow. Can anyone confirm? #fakenewsalert,2025-05-18 10:38:32.473283,user_4009,"Lucknow, Uttar Pradesh",Twitter,126,26,hinglish
post_0069,Warning! Unverified news about a local festival spreading in Thane.,2025-05-24 06:35:32.473304,user_1784,"Thane, Maharashtra",Instagram,103,32,en
post_0070,Loving the new park in Jaipur! #community #goodgovernance,2025-05-24 21:07:32.473325,user_8343,"Jaipur, Rajasthan",Facebook,38,92,hi
post_0071,Power outage for hours in Ahmedabad! This is unacceptable. @ কর্তৃপক্ষ,2025-05-23 09:35:32.473345,user_6986,"Ahmedabad, Gujarat",Facebook,305,24,en
post_0072,Attended a meeting about public safety in Ahmedabad today.,2025-05-09 19:01:32.473366,user_6625,"Ahmedabad, Gujarat",Instagram,390,56,hi
post_0073,Power outage for hours in Hyderabad! This is unacceptable. @ কর্তৃপক্ষ,2025-05-29 19:41:32.473386,user_3368,"Hyderabad, Telangana",LocalForum,263,15,hinglish
post_0074,Loving the new park in Bhopal! #community #goodgovernance,2025-05-19 20:10:32.473406,user_7614,"Bhopal, Madhya Pradesh",LocalForum,142,91,en
post_0075,Hyderabad में बिजली की कटौती से जनता परेशान। #powercut,2025-06-01 06:29:32.473427,user_1853,"Hyderabad, Telangana",Twitter,50,24,en
post_0076,Kanpur market seems busy as usual.,2025-05-07 10:03:32.473447,user_8509,"Kanpur, Uttar Pradesh",Instagram,304,51,hinglish
post_0077,Delhi market seems busy as usual.,2025-05-24 02:46:32.473468,user_3491,"Delhi, Delhi",Facebook,100,96,en
post_0078,Loving the new park in Patna! #community #goodgovernance,2025-05-25 11:01:32.473497,user_4051,"Patna, Bihar",Instagram,107,4,en
post_0079,Jaipur market seems busy as usual.,2025-05-27 04:55:32.473517,user_1876,"Jaipur, Rajasthan",Twitter,479,93,en
post_0080,Pune में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-19 05:06:32.473538,user_8079,"Pune, Maharashtra",Twitter,307,15,hi
post_0081,Jaipur में illegal construction से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-20 14:01:32.473558,user_2693,"Jaipur, Rajasthan",LocalForum,146,16,hi
post_0082,Thank you for addressing the traffic issue promptly!,2025-05-09 13:33:32.473578,user_6177,"Lucknow, Uttar Pradesh",Twitter,438,89,en
post_0083,Thank you for addressing the pollution issue promptly!,2025-05-28 11:38:32.473598,user_2150,"Thane, Maharashtra",Instagram,392,11,hi
post_0084,Just observing the situation regarding traffic in Indore.,2025-05-13 07:03:32.473619,user_1512,"Indore, Madhya Pradesh",Twitter,238,33,en
post_0085,Indore में noise pollution से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-03 10:13:32.473639,user_4672,"Indore, Madhya Pradesh",Facebook,487,0,hinglish
post_0086,Power outage for hours in Nagpur! This is unacceptable. @ কর্তৃপক্ষ,2025-05-18 01:56:32.473660,user_8004,"Nagpur, Maharashtra",LocalForum,246,66,en
post_0087,Bhopal market seems busy as usual.,2025-05-21 16:10:32.473680,user_8253,"Bhopal, Madhya Pradesh",Twitter,184,28,en
post_0088,Bangalore में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-20 03:14:32.473701,user_3141,"Bangalore, Karnataka",Facebook,237,61,en
post_0089,Terrible traffic jam again in Patna. When will this be fixed? #civicissue,2025-05-14 03:49:32.473722,user_7617,"Patna, Bihar",Facebook,431,84,en
post_0090,Concerned about the rising theft in our area. #safety,2025-05-27 04:28:32.473742,user_8421,"Lucknow, Uttar Pradesh",Facebook,221,22,en
post_0091,Warning! Unverified news about a local festival spreading in Chennai.,2025-05-07 22:07:32.473763,user_3849,"Chennai, Tamil Nadu",Twitter,179,94,hi
post_0092,Terrible traffic jam again in Thane. When will this be fixed? #civicissue,2025-05-23 13:03:32.473784,user_5611,"Thane, Maharashtra",Instagram,15,23,hinglish
post_0093,This new policy is a disaster for people in Hyderabad.,2025-05-17 09:59:32.473804,user_7303,"Hyderabad, Telangana",Facebook,474,83,hinglish
post_0094,Power outage for hours in Delhi! This is unacceptable. @ কর্তৃপক্ষ,2025-05-09 20:11:32.473825,user_3427,"Delhi, Delhi",LocalForum,32,32,en
post_0095,Lucknow में बिजली की कटौती से जनता परेशान। #powercut,2025-05-04 13:18:32.473846,user_6732,"Lucknow, Uttar Pradesh",Twitter,267,66,hinglish
post_0096,Power outage for hours in Hyderabad! This is unacceptable. @ কর্তৃপক্ষ,2025-06-02 07:21:32.473866,user_4913,"Hyderabad, Telangana",LocalForum,42,43,hi
post_0097,Terrible traffic jam again in Ahmedabad. When will this be fixed? #civicissue,2025-05-04 19:49:32.473886,user_6726,"Ahmedabad, Gujarat",Facebook,301,1,hinglish
post_0098,Terrible traffic jam again in Patna. When will this be fixed? #civicissue,2025-05-04 13:11:32.473906,user_3082,"Patna, Bihar",Twitter,214,80,en
post_0099,Just observing the situation regarding traffic in Thane.,2025-05-08 00:32:32.473927,user_1417,"Thane, Maharashtra",Facebook,114,6,hi
post_0100,Attended a meeting about local events in Kolkata today.,2025-05-29 11:11:32.473947,user_1412,"Kolkata, West Bengal",Twitter,375,35,en
post_0101,Terrible traffic jam again in Bangalore. When will this be fixed? #civicissue,2025-05-08 11:04:32.473967,user_9867,"Bangalore, Karnataka",LocalForum,393,72,hi
post_0102,Thank you for addressing the power cuts issue promptly!,2025-05-10 05:12:32.473988,user_2122,"Chennai, Tamil Nadu",Instagram,495,35,en
post_0103,Terrible traffic jam again in Pune. When will this be fixed? #civicissue,2025-05-15 15:22:32.474008,user_3143,"Pune, Maharashtra",Facebook,151,22,en
post_0104,This new policy is a disaster for people in Patna.,2025-05-04 03:49:32.474028,user_4440,"Patna, Bihar",Twitter,182,12,en
post_0105,This new policy is a disaster for people in Lucknow.,2025-05-11 05:20:32.474048,user_6917,"Lucknow, Uttar Pradesh",Instagram,272,61,hi
post_0106,Thank you for addressing the crime issue promptly!,2025-05-13 16:36:32.474068,user_2365,"Delhi, Delhi",Instagram,396,58,en
post_0107,Just observing the situation regarding power cuts in Delhi.,2025-05-14 15:25:32.474089,user_1395,"Delhi, Delhi",Facebook,444,18,hinglish
post_0108,Just observing the situation regarding waste management in Mumbai.,2025-05-21 23:54:32.474110,user_1717,"Mumbai, Maharashtra",Facebook,222,51,en
post_0109,Bangalore में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-14 17:45:32.474132,user_5980,"Bangalore, Karnataka",Facebook,68,98,hinglish
post_0110,Great initiative by local authorities for public safety. #positivechange,2025-05-21 12:02:32.474153,user_6588,"Ahmedabad, Gujarat",Twitter,483,52,en
post_0111,Patna में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-10 16:04:32.474173,user_2062,"Patna, Bihar",Facebook,108,52,hinglish
post_0112,Terrible traffic jam again in Chennai. When will this be fixed? #civicissue,2025-05-24 01:47:32.474193,user_5729,"Chennai, Tamil Nadu",Instagram,132,34,hinglish
post_0113,बहुत अच्छा काम हो रहा है Jaipur में। #विकास,2025-05-10 21:50:32.474214,user_7801,"Jaipur, Rajasthan",Twitter,238,75,en
post_0114,Just observing the situation regarding pollution in Jaipur.,2025-05-24 22:03:32.474235,user_3539,"Jaipur, Rajasthan",Twitter,400,6,hi
post_0115,Kolkata में noise pollution से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-19 19:21:32.474255,user_7313,"Kolkata, West Bengal",Twitter,392,49,en
post_0116,Thank you for addressing the water shortage issue promptly!,2025-05-07 06:56:32.474280,user_7172,"Bhopal, Madhya Pradesh",Instagram,164,37,en
post_0117,This new policy is a disaster for people in Kolkata.,2025-05-15 00:13:32.474304,user_2365,"Kolkata, West Bengal",Instagram,499,16,en
post_0118,Lucknow में theft से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-26 19:57:32.474324,user_4141,"Lucknow, Uttar Pradesh",Twitter,251,30,en
post_0119,Concerned about the rising illegal construction in our area. #safety,2025-05-14 20:07:32.474345,user_5186,"Pune, Maharashtra",Instagram,201,89,hinglish
post_0120,Just observing the situation regarding traffic in Pune.,2025-05-15 01:58:32.474365,user_5268,"Pune, Maharashtra",Facebook,140,91,en
post_0121,बहुत अच्छा काम हो रहा है Kanpur में। #विकास,2025-05-03 12:33:32.474386,user_9647,"Kanpur, Uttar Pradesh",LocalForum,316,38,hi
post_0122,Mumbai market seems busy as usual.,2025-06-02 05:48:32.474407,user_1504,"Mumbai, Maharashtra",Twitter,190,24,en
post_0123,Power outage for hours in Bhopal! This is unacceptable. @ কর্তৃপক্ষ,2025-05-10 07:23:32.474428,user_1133,"Bhopal, Madhya Pradesh",LocalForum,57,43,hi
post_0124,They are saying a secret plan is underway about the a large corporation in Kanpur.,2025-05-20 19:14:32.474449,user_5175,"Kanpur, Uttar Pradesh",Instagram,373,84,hinglish
post_0125,Concerned about the rising stray animals in our area. #safety,2025-05-23 03:25:32.474470,user_7190,"Patna, Bihar",Twitter,232,48,en
post_0126,Bangalore में noise pollution से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-19 17:30:32.474495,user_4584,"Bangalore, Karnataka",Facebook,372,53,en
post_0127,Attended a meeting about infrastructure in Ahmedabad today.,2025-05-12 05:45:32.474516,user_9662,"Ahmedabad, Gujarat",LocalForum,440,74,en
post_0128,Garbage not collected in North Pune for a week. #swachhbharat?,2025-05-21 22:29:32.474540,user_6063,"Pune, Maharashtra",LocalForum,357,75,hinglish
post_0129,Warning! Unverified news about a local festival spreading in Kolkata.,2025-05-09 11:53:32.474562,user_7819,"Kolkata, West Bengal",LocalForum,89,7,en
post_0130,Hyderabad में theft से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-07 14:33:32.474582,user_5964,"Hyderabad, Telangana",Instagram,40,99,en
post_0131,Great initiative by local authorities for education. #positivechange,2025-05-06 10:44:32.474603,user_6320,"Hyderabad, Telangana",Twitter,416,83,en
post_0132,Attended a meeting about environment in Nagpur today.,2025-05-20 16:32:32.474623,user_2581,"Nagpur, Maharashtra",Instagram,34,5,hi
post_0133,They are saying a secret plan is underway about the a large corporation in Ahmedabad.,2025-05-15 13:56:32.474644,user_2838,"Ahmedabad, Gujarat",Instagram,408,65,en
post_0134,बहुत अच्छा काम हो रहा है Hyderabad में। #विकास,2025-05-23 08:31:32.474665,user_8409,"Hyderabad, Telangana",LocalForum,250,4,en
post_0135,Endless wait times at the Collectorate in Bhopal. #inefficiency,2025-05-10 08:28:32.474685,user_3193,"Bhopal, Madhya Pradesh",LocalForum,223,48,en
post_0136,Attended a meeting about infrastructure in Mumbai today.,2025-05-22 11:35:32.474705,user_5158,"Mumbai, Maharashtra",Facebook,216,85,hinglish
post_0137,Thane में theft से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-06 15:48:32.474726,user_5000,"Thane, Maharashtra",Facebook,97,98,hinglish
post_0138,They are saying a secret plan is underway about the the government in Mumbai.,2025-06-01 11:13:32.474750,user_3000,"Mumbai, Maharashtra",Twitter,196,94,en
post_0139,Attended a meeting about public safety in Thane today.,2025-05-29 02:58:32.474771,user_2460,"Thane, Maharashtra",Facebook,22,52,hi
post_0140,Feeling hopeful about developments in Delhi.,2025-05-28 22:51:32.474791,user_5178,"Delhi, Delhi",Instagram,144,84,en
post_0141,Just observing the situation regarding waste management in Kolkata.,2025-05-19 23:15:32.474811,user_3048,"Kolkata, West Bengal",Instagram,50,44,en
post_0142,Great initiative by local authorities for health services. #positivechange,2025-05-21 05:00:32.474831,user_5976,"Patna, Bihar",Instagram,487,31,en
post_0143,Warning! Unverified news about a local festival spreading in Bangalore.,2025-06-01 00:22:32.474852,user_1249,"Bangalore, Karnataka",Facebook,161,53,en
post_0144,Terrible traffic jam again in Kanpur. When will this be fixed? #civicissue,2025-05-12 05:02:32.474872,user_5363,"Kanpur, Uttar Pradesh",Instagram,448,53,en
post_0145,Concerned about the rising illegal construction in our area. #safety,2025-05-22 03:31:32.474893,user_8901,"Nagpur, Maharashtra",Facebook,250,56,hinglish
post_0146,This new policy is a disaster for people in Mumbai.,2025-05-16 16:14:32.474913,user_2252,"Mumbai, Maharashtra",LocalForum,340,13,hi
post_0147,Kanpur में illegal construction से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-31 21:10:32.474933,user_7881,"Kanpur, Uttar Pradesh",Twitter,293,49,hi
post_0148,Heard a rumor that a natural disaster warning is happening in Bangalore. Can anyone confirm? #fakenewsalert,2025-05-31 14:31:32.474955,user_8002,"Bangalore, Karnataka",LocalForum,434,62,hi
post_0149,बहुत अच्छा काम हो रहा है Mumbai में। #विकास,2025-05-31 12:04:32.474976,user_5261,"Mumbai, Maharashtra",Facebook,480,87,en
post_0150,Garbage not collected in South Jaipur for a week. #swachhbharat?,2025-05-18 09:19:32.474996,user_8730,"Jaipur, Rajasthan",Twitter,80,4,hi
post_0151,Thank you for addressing the crime issue promptly!,2025-05-05 04:51:32.475016,user_7327,"Delhi, Delhi",Twitter,400,73,hinglish
post_0152,बहुत अच्छा काम हो रहा है Delhi में। #विकास,2025-05-16 12:37:32.475037,user_5164,"Delhi, Delhi",Facebook,33,5,hinglish
post_0153,Warning! Unverified news about a local festival spreading in Indore.,2025-05-13 06:48:32.475059,user_7269,"Indore, Madhya Pradesh",Instagram,234,42,en
post_0154,Loving the new park in Thane! #community #goodgovernance,2025-05-17 21:10:32.475083,user_7254,"Thane, Maharashtra",LocalForum,248,22,en
post_0155,बहुत अच्छा काम हो रहा है Indore में। #विकास,2025-05-10 16:30:32.475104,user_7090,"Indore, Madhya Pradesh",Instagram,373,15,en
post_0156,Feeling hopeful about developments in Bangalore.,2025-05-26 04:21:32.475124,user_9472,"Bangalore, Karnataka",LocalForum,194,95,en
post_0157,Terrible traffic jam again in Bangalore. When will this be fixed? #civicissue,2025-05-30 14:03:32.475144,user_8570,"Bangalore, Karnataka",Facebook,276,4,hi
post_0158,Weather in Kolkata is quite hot today.,2025-05-15 22:39:32.475164,user_7981,"Kolkata, West Bengal",Instagram,0,4,en
post_0159,Power outage for hours in Bangalore! This is unacceptable. @ কর্তৃপক্ষ,2025-05-24 20:35:32.475184,user_3593,"Bangalore, Karnataka",LocalForum,432,77,hinglish
post_0160,Kanpur में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-07 19:34:32.475204,user_8240,"Kanpur, Uttar Pradesh",Instagram,281,46,en
post_0161,Forwarded as received: a dangerous chemical spill in Patna! Is this true?,2025-05-08 10:14:32.475225,user_7493,"Patna, Bihar",Twitter,106,62,hinglish
post_0162,Forwarded as received: a dangerous chemical spill in Bhopal! Is this true?,2025-05-17 15:35:32.475245,user_2276,"Bhopal, Madhya Pradesh",LocalForum,179,78,hinglish
post_0163,This new policy is a disaster for people in Bangalore.,2025-05-18 08:39:32.475265,user_9717,"Bangalore, Karnataka",Instagram,473,27,en
post_0164,Just observing the situation regarding waste management in Delhi.,2025-05-10 18:37:32.475286,user_1364,"Delhi, Delhi",LocalForum,153,13,en
post_0165,Terrible traffic jam again in Chennai. When will this be fixed? #civicissue,2025-05-06 08:10:32.475306,user_6126,"Chennai, Tamil Nadu",Facebook,2,22,hi
post_0166,Nagpur में stray animals से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-19 21:14:32.475326,user_2531,"Nagpur, Maharashtra",Twitter,492,17,hi
post_0167,Forwarded as received: all schools closing tomorrow in Kolkata! Is this true?,2025-05-08 02:26:32.475346,user_2906,"Kolkata, West Bengal",LocalForum,14,63,en
post_0168,Pune में noise pollution से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-08 09:24:32.475366,user_9905,"Pune, Maharashtra",Facebook,38,56,en
post_0169,Just observing the situation regarding pollution in Jaipur.,2025-05-17 01:39:32.475386,user_8641,"Jaipur, Rajasthan",Facebook,125,43,hinglish
post_0170,Heard a rumor that a celebrity visit is happening in Lucknow. Can anyone confirm? #fakenewsalert,2025-05-08 15:48:32.475406,user_7168,"Lucknow, Uttar Pradesh",LocalForum,67,9,en
post_0171,Just observing the situation regarding waste management in Chennai.,2025-05-30 23:16:32.475426,user_7371,"Chennai, Tamil Nadu",Twitter,110,85,hinglish
post_0172,Power outage for hours in Mumbai! This is unacceptable. @ কর্তৃপক্ষ,2025-05-31 17:53:32.475445,user_7891,"Mumbai, Maharashtra",Twitter,82,41,hinglish
post_0173,Concerned about the rising stray animals in our area. #safety,2025-05-25 03:55:32.475466,user_3739,"Ahmedabad, Gujarat",Instagram,281,63,hinglish
post_0174,Terrible traffic jam again in Nagpur. When will this be fixed? #civicissue,2025-05-31 08:02:32.475487,user_1876,"Nagpur, Maharashtra",Twitter,453,32,en
post_0175,"The roads in Ward 20, Hyderabad are in pathetic condition. #badroads",2025-05-12 10:40:32.475507,user_2733,"Hyderabad, Telangana",Instagram,69,3,hi
post_0176,Concerned about the rising stray animals in our area. #safety,2025-05-03 21:31:32.475529,user_4735,"Kolkata, West Bengal",Facebook,310,8,en
post_0177,Endless wait times at the Collectorate in Kanpur. #inefficiency,2025-05-11 05:10:32.475549,user_3590,"Kanpur, Uttar Pradesh",Instagram,39,35,hi
post_0178,Nagpur में theft से परेशान हूँ। कोई सुनवाई नहीं।,2025-05-10 02:59:32.475570,user_9659,"Nagpur, Maharashtra",Facebook,219,74,en
